mass_frac,P
0, 2.3203125000000004
0.10113207547169809, 1.8671875
0.1909433962264145, 1.5781249999999996
0.2716981132075467, 1.3515624999999993
0.3449056603773585, 1.1718749999999991
0.40905660377358494, 1.0234374999999991
0.4701886792452834, 0.8984374999999987
0.5222641509433963, 0.7890624999999987
0.5698113207547165, 0.7031249999999982
0.613584905660377, 0.6171874999999987
0.6513207547169813, 0.5468749999999982
0.6867924528301889, 0.4843749999999978
0.7177358490566041, 0.4296874999999978
0.7456603773584906, 0.3828124999999978
0.7713207547169812, 0.3437499999999982
1.0,0.0
